Generación estimada de residuos peligrosos por tipo de residuo competencia de ASEA,,,,,,,,,,,,,,
ID Entidad Federaativa,Entidad federativa,Municipio,Año,Subsector,Categoría de generador,Categoría del residuo,Tipo de residuo,Generación estimada,,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Microgenerador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices",Pequeño Generador,"1,22",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Microgenerador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","Mezclas de combustibles sucios, mezclas de hidrocarburos, naftas","0,04",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Microgenerador,Liquidos de proceso,"Agua contaminada con hidrocarburos, combustibles, aceite o grasa","0,09",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Microgenerador,Lodos aceitosos,"Con contaminacion de hidrocarburos, combustibles, aceite","1,08",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Microgenerador,Residuos solidos,"Estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos","3,12",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Aceites gastados,Lubricantes,"0,58",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","Mezclas de combustibles sucios, mezclas de hidrocarburos, naftas","0,16",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Liquidos de proceso,"Agua contaminada con hidrocarburos, combustibles, aceite o grasa","2,55",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Lodos,Lodos provenientes de tanques de almacenaniento ,"8,52",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Lodos aceitosos,"Con contaminacion de hidrocarburos, combustibles, aceite","1,46",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,"Estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos","2,42",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,Lampara fluorescentes ,"0,05",,,,,,
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Solventes,Solventes organicos usados ,"0,03",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Aceites gastados (Hidraulicos),Aceite gastado hidraulico,"0,2",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Aceites gastados (Lubricantes),Aceites gastados lubricantes,"0,31",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Filtro de aire o aceite contaminados,Filtro de aire o aceite contaminados,"0,1",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Diesel y gasolina sucias,"Gasolina, Diesel y Naftas gastados o sucios provenientes de Estaciones de Servicio y Talleres Automotrices","1,69",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Lamparas fluorescentes y de vapor de mercurio,Lamparas fluorescentes y de vapor de mercurio,0,,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Liquidos residuales de proceso no corrosivos,Residuos de trampas liquido,"0,11",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Lodos Contaminados con Hidrocarburos (combustible y aceites),Lodos desechos de trampa,"3,2",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Lodos de tanques de almacenamiento de hidrocarburos,Lodos de tanques de hidrocarburos,"0,71",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Solidos contaminados con hidrocarburos diversos,"Filtros, mangueras, envases, botes, cubetas, contenedores, trapos, guantes, carton, aserrin, material absorbente,Estopas y trapos impregnados con combustible, Envases vacios impregnados de aceite","4,15",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Aceites gastados (Lubricantes),Aceites gastados lubricantes,"1,35",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Baterias alcalinas,Pilas alcalinas,"0,01",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Filtro de aire o aceite contaminados,Filtro de aire o aceite contaminados,"0,58",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Lamparas fluorescentes y de vapor de mercurio,Lamparas fluorescentes y de vapor de mercurio,"0,06",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Liquidos residuales de proceso no corrosivos,Agua contaminada con hidrocarburos,"24,4",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Lodos Contaminados con Hidrocarburos (combustible y aceites),Lodos aceitosos de trampa,"39,67",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Lodos de tanques de almacenamiento de hidrocarburos,Lodos de tanques de hidrocarburos,"0,11",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Pilas o Baterias con Litio o Cadmio,Pilas Niquel-Cadmio,"0,06",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Solidos contaminados con hidrocarburos diversos,"Filtros, mangueras, envases, botes, cubetas, contenedores, trapos, guantes, carton, aserrin, material absorbente,Estopas y trapos impregnados con combustible, Envases vacios impregnados de aceite","4,03",,,,,,
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Solidos contaminados con pinturas o solventes diversos ,"Envases, botes, cubetas, contenedores, trapos, guantes, carton, EPP, carton, envases, franelas, filtros impregnados ","0,19",,,,,,
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Aceites gastados,hidraulicos,0,,,,,,
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Aceites gastados,Lubricantes,0,,,,,,
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","0,1564",,,,,,
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Liquidos de proceso,No corrosivos,"0,0476",,,,,,
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Lodos,Lodos aceitosos ,"0,085",,,,,,
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Lodos,Lodos procedentes de trampas de grasas e hidrocarburos,0,,,,,,
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Residuos solidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos","0,181",,,,,,
