id_ent_fed,ent_fed,anio,subsector,categoria_generador,categoria_residuo,type_residuo,generacion_estimada_ton_anio
1,aguascalientes,2019,petrolifero,pequeno generador,residuos solidos,"botes o recipientes que contuvieron contaminantes diversos, latas de pintura, aerosoles",0.0
1,aguascalientes,2019,petrolifero,pequeno generador,residuos solidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.0
1,aguascalientes,2019,petrolifero,pequeno generador,residuos solidos,filtro de aire o de aceite contaminados,0.0
1,aguascalientes,2019,petrolifero,pequeno generador,residuos solidos,lámpara fluorescentes,0.0
1,aguascalientes,2020,petrolifero,microgenerador,aceites lubricantes,aceites gastados lubricantes,0.24
1,aguascalientes,2020,petrolifero,microgenerador,líquidos de proceso,aguas aceitosas,0.015
1,aguascalientes,2020,petrolifero,microgenerador,"gasollina, diésel y naftas gastados","gasollina, diésel y naftas gastados",0.22
1,aguascalientes,2020,petrolifero,microgenerador,lámparas fluorescentes y de vapor de mercurio,lámparas fluorescentes y de vapor de mercurio,36.0
1,aguascalientes,2020,petrolifero,microgenerador,residuos sólidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",1.916
1,aguascalientes,2020,petrolifero,microgenerador,lodos,lodos aceitosos,1.017
1,aguascalientes,2020,petrolifero,pequeno generador,aceites lubricantes,aceites gastados lubricantes,9968.0
1,aguascalientes,2020,petrolifero,pequeno generador,líquidos de proceso,aguas aceitosas,28.55
1,aguascalientes,2020,petrolifero,pequeno generador,"gasollina, diésel y naftas gastados","gasollina, diésel y naftas gastados",0.98
1,aguascalientes,2020,petrolifero,pequeno generador,lámparas fluorescentes y de vapor de mercurio,lámparas fluorescentes y de vapor de mercurio,0.909
1,aguascalientes,2020,petrolifero,pequeno generador,residuos sólidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",18195.0
1,aguascalientes,2020,petrolifero,pequeno generador,"baterias, pilas y balastras","baterias, pilas y balastras",0.031
1,aguascalientes,2020,petrolifero,pequeno generador,lodos,lodos aceitosos,1.603
1,aguascalientes,2021,petrolifero,microgenerador,aceites gastados,lubricantes,0.24
1,aguascalientes,2021,petrolifero,microgenerador,"gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios",0.22
1,aguascalientes,2021,petrolifero,microgenerador,No especificado,"agua oleosa, agua contaminada",0.02
1,aguascalientes,2021,petrolifero,microgenerador,residuos solidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",1.92
1,aguascalientes,2021,petrolifero,microgenerador,residuos solidos,"lámparas fluorescentes, lámparas de vapor de mercurio",0.0
1,aguascalientes,2021,petrolifero,microgenerador,lodos,lodos aceitosos,1.02
1,aguascalientes,2021,petrolifero,pequeno generador,aceites gastados,lubricantes,1.0
1,aguascalientes,2021,petrolifero,pequeno generador,"baterias, celdas y pilas","baterias, pilas y balastras",0.03
1,aguascalientes,2021,petrolifero,pequeno generador,"gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios",0.98
1,aguascalientes,2021,petrolifero,pequeno generador,No especificado,"agua oleosa, agua contaminada",28.55
1,aguascalientes,2021,petrolifero,pequeno generador,residuos solidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",1.82
